,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
1142,4,1685757435491,6.14,1.14,27.421,1.131,100.827
1143,11,1685759608503,6.716,0.298,17.237,0.986,69.582
1144,4,1685761654301,6.965,2.154,16.435,1.46,87.865
1145,5,1685762352709,6.226,0.482,12.014,2.497,62.525
1146,4,1685765865555,6.222,1.446,17.351,1.729,65.149
1147,11,1685771088902,6.002,0.5,19.313,0.777,83.796
1148,1,1685771615558,6.86,1.166,22.541,0.444,69.985
1149,6,1685774141361,9.423,2.122,18.134,1.93,147.695
1150,3,1685774625895,6.909,1.303,24.563,0.081,190.475
1151,9,1685778297553,9.671,2.378,17.312,1.098,76.799
1152,3,1685779719051,6.92,1.301,25.538,0.078,187.244
1153,13,1685780371885,7.037,1.137,16.922,1.064,73.991
1154,3,1685782413549,8.224,1.216,25.039,0.24,173.186
1156,6,1685789169586,7.836,2.552,29.694,0.606,98.065
1157,13,1685790504942,12.035,0.249,30.072,0.665,177.015
1158,3,1685791412671,6.494,1.232,21.942,0.273,90.726
1159,4,1685792441848,7.027,1.85,33.779,0.059,81.141
1160,13,1685795649596,6.937,1.153,37.923,0.633,118.794
1162,3,1685796505694,8.364,1.196,15.247,0.131,78.539
1163,7,1685798126880,8.652,1.387,35.515,0.873,187.02
1164,13,1685800742121,24.514,0.122,18.036,0.943,120.06
1165,16,1685801275860,6.473,1.39,19.225,0.208,72.038
1166,7,1685802901174,9.273,2.265,132.989,0.18,475.119
1167,10,1685805467486,6.52,1.38,18.627,2.308,63.591
1169,10,1685810609402,6.794,1.472,19.968,2.304,81.254
1171,12,1685816346078,6.417,0.935,25.663,0.468,84.964
1173,9,1685834398866,7.201,1.389,16.159,1.052,71.13
1175,11,1685839777517,6.261,0.479,31.983,0.469,159.861
1176,9,1685844531458,8.235,2.186,17.053,0.997,80.766
1177,11,1685845195559,6.022,0.498,15.582,1.091,75.716
1178,20,1685846464178,6.689,1.046,46.492,0.731,115.255
1179,9,1685849571599,10.004,1.699,31.644,0.442,167.292
1180,11,1685853798755,6.042,0.497,26.096,0.728,80.988
1181,9,1685854612087,8.083,2.227,25.187,0.715,96.395
1182,20,1685857300145,6.273,0.319,9.224,2.71,59.073
1183,9,1685859653063,7.704,1.298,26.429,0.416,117.274
1184,20,1685862352228,8.169,1.102,33.232,0.481,134.034
1185,1,1685863475788,6.776,0.885,21.595,0.046,115.842
1186,20,1685865146104,6.784,1.032,28.077,3.526,145.937
1187,20,1685868479840,6.258,1.438,34.17,0.498,113.306
1188,10,1685869573549,7.819,1.279,48.273,0.352,157.829
1189,7,1685870245514,8.186,2.565,24.471,2.779,70.232
1191,11,1685871004182,7.529,1.328,15.873,0.945,79.885
1192,20,1685871167492,16.228,0.555,60.981,0.312,178.559
1193,10,1685871797640,6.696,1.344,9.853,0.913,69.486
1194,3,1685873455610,6.28,1.433,22.59,0.221,113.621
1196,4,1685874361142,6.319,2.057,15.803,1.582,86.177
1199,3,1685878311467,6.359,1.258,26.367,0.19,146.65
1201,12,1685881147309,7.747,2.453,17.043,0.704,76.352
1202,3,1685882223630,7.28,1.099,16.368,0.367,85.406
1205,7,1685885366572,9.806,1.632,23.245,2.667,100.833
